"","Site ID","Site Name","Longitude","Latitude","Region","Activation Date","Deactivation Date"
"1","48_001_0647","Palestine C647","-95.705833","31.779444",5,"26-Jul-05","25-Oct-06"
"2","48_005_5013","Lufkin KLFK","-94.75","31.233889",10,"2-Sep-05",""
"3","48_021_0684","McKinney Roughs","-97.4588971","30.140877",11,"16-Aug-06",""
"4","48_025_0001","AC Jones High School","-97.7525","28.418889",14,"1-Jan-75","30-Jun-80"
"5","48_025_0641","Beeville","-97.79","28.359722",14,"26-Jul-05","18-Oct-06"
"6","48_027_0001","Draughton Miller Airport","-97.408333","31.156667",9,"20-Sep-90","30-Dec-96"
"7","48_027_0651","TEMPLE C651","-97.339444","30.9975",9,"31-Jul-05","7-Nov-06"
"8","48_027_1045","Temple Georgia","-97.4310523","31.1224187",9,"4-Oct-13",""
"9","48_027_1047","Killeen Skylark Field","-97.6797343","31.0880022",9,"11-Jun-09",""
"10","48_029_0001","Calveras State Park","-98.295833","29.281944",13,"1-Jan-77","31-Dec-81"
"11","48_029_0002","Camp Bullis - TACB/SAMHD","0","0",13,"1-Jan-81","31-Dec-82"
"12","48_029_0003","San Antonio","-98.418611","29.641944",13,"1-Jan-68","31-Dec-69"
"13","48_029_0004","Culebra Road","-98.802778","29.52",13,"1-Jan-68","31-Dec-69"
"14","48_029_0005","Oak Hills Country Club","-98.570278","29.506111",13,"1-Jan-68","30-Jun-80"
"15","48_029_0006","Cadillac Drive Water Pump Station","-98.525278","29.571944",13,"1-Jan-68","31-Dec-69"
"16","48_029_0007","San Antonio City Service Center","-98.477778","29.520833",13,"1-Jan-68","31-Dec-69"
"17","48_029_0008","Newport","-98.477778","29.520833",13,"1-Jan-68","31-Dec-74"
"18","48_029_0009","SARA Sewage Treatment Plant","-98.291944","29.511111",13,"1-Jan-68","31-Dec-69"
"19","48_029_0011","Lackland City Spring","-98.638333","29.385556",13,"1-Jan-68","31-Dec-69"
"20","48_029_0012","Hwy 90 Water Pump Station","-98.579167","29.423611",13,"1-Jan-68","31-Dec-69"
"21","48_029_0013","Edison Dr Water Pump Station","-98.519444","29.470833",13,"1-Jan-68","31-Dec-69"
"22","48_029_0014","Helotes Park Estates","-98.68","29.561667",13,"1-Jan-68","31-Dec-69"
"23","48_029_0015","Seale Road Water Pump Station","-98.413056","29.444444",13,"1-Jan-68","31-Dec-69"
"24","48_029_0017","Bexar Metro Water","-98.5375","29.3275",13,"1-Jan-68","31-Dec-69"
"25","48_029_0018","New Braunfels Rd City Service Center","-98.453889","29.3525",13,"1-Jan-68","31-Dec-69"
"26","48_029_0019","Beck Road","-98.318056","29.365",13,"1-Jan-68","31-Dec-69"
"27","48_029_0020","Somerset Water Pump Station","-98.666667","29.225556",13,"1-Jan-68","31-Dec-69"
"28","48_029_0021","Braunig Lake Power Plant","-98.386111","29.266667",13,"1-Jan-68","31-Dec-73"
"29","48_029_0022","San Antonio International Airport","-98.474444","29.527778",13,"1-Jan-69","31-Dec-83"
"30","48_029_0023","Hills and Dales Water Company","-98.641111","29.59",13,"1-Jan-73","31-Dec-73"
"31","48_029_0024","Flagle Street Water Pump Station","-98.564444","29.4375",13,"1-Jan-71","1-Jan-81"
"32","48_029_0026","Southcross","-98.543611","29.367778",13,"1-Jan-71","30-Jun-80"
"33","48_029_0027","Gembler Fire Station","-98.416111","29.435",13,"1-Jan-71","30-Jun-80"
"34","48_029_0029","Walzem Pump Station","-98.403333","29.508333",13,"1-Jan-71","1-Jan-73"
"35","48_029_0032","San Antonio Northwest","-98.620166","29.51509",13,"1-Jul-81",""
"36","48_029_0033","New Braunfels Road","-98.448889","29.359444",13,"1-Jan-72","30-Jun-80"
"37","48_029_0034","NW of Bowie &amp; Durange Streets Intersection","-98.484722","29.415278",13,"1-Jan-72","7-Oct-99"
"38","48_029_0035","EPA-480290035","-98.824722","29.44",13,"1-Jan-73","31-Dec-76"
"39","48_029_0036","San Antonio North","-98.538889","29.504722",13,"1-Sep-72","11-Aug-98"
"40","48_029_0037","Flagle Street","-98.564444","29.4375",13,"1-Jan-75","31-Dec-76"
"41","48_029_0038","West Southcross","-98.545833","29.370278",13,"1-Jan-75","31-Dec-80"
"42","48_029_0039","Gembler","-98.4125","29.435",13,"1-Jan-75","1-Jan-79"
"43","48_029_0040","South New Braunfels","-98.447222","29.361944",13,"5-Jan-74","31-Dec-88"
"44","48_029_0041","Salinas and Camaron","-98.493889","29.429167",13,"1-Jan-77","31-Dec-81"
"45","48_029_0042","East Kelly AFB","-98.54","29.372778",13,"1-Jan-79","30-Dec-96"
"46","48_029_0044","International Airport Loop","-98.473056","29.518889",13,"1-Jan-84","10-Jan-90"
"47","48_029_0045","Kings Mountain","-98.358333","29.588889",13,"1-Jan-80","31-Dec-85"
"48","48_029_0046","San Antonio Downtown","-98.486389","29.426944",13,"1-Sep-81","6-Oct-10"
"49","48_029_0047","Espada Road","-98.45","29.316667",13,"1-Jan-82","30-Jun-83"
"50","48_029_0048","Culebra Road 2","-98.6125","29.440278",13,"1-Jan-83","31-Dec-87"
"51","48_029_0050","IH-410 San Antonio International Airport","-98.478333","29.530278",13,"1-Jan-71","30-Dec-96"
"52","48_029_0051","San Antonio Seale","-98.406501","29.4450463",13,"13-Jul-94",""
"53","48_029_0052","Camp Bullis","-98.5649364","29.6320582",13,"10-Aug-98",""
"54","48_029_0053","Selma","-98.3125118","29.5877408",13,"6-Oct-99",""
"55","48_029_0055","CPS Pecan Valley","-98.431251","29.4072945",13,"11-Mar-99",""
"56","48_029_0059","Calaveras Lake","-98.3116919","29.2753812",13,"12-May-98",""
"57","48_029_0060","Frank Wing Municipal Court","-98.505381","29.4221832",13,"18-May-00",""
"58","48_029_0501","Elm Creek Elementary","-98.724444","29.276667",13,"17-Jun-02",""
"59","48_029_0502","Fair Oaks Ranch","-98.625556","29.73",13,"27-Jun-02",""
"60","48_029_0622","Heritage Middle School","-98.3328207","29.3529047",13,"29-Jul-04",""
"61","48_029_0623","Gardner Rd. Gas Sub-Station","-98.3258333","29.3319444",13,"28-Jun-05",""
"62","48_029_0625","Gate 9A CPS","-98.3377778","29.2922222",13,"1-Jun-05",""
"63","48_029_0626","Gate 58 CPS","-98.3316667","29.3177778",13,"1-Jun-05",""
"64","48_029_0676","Palo Alto","-98.5513832","29.3327898",13,"1-Aug-06",""
"65","48_029_0677","Old Hwy 90","-98.5804991","29.4239439",13,"9-Oct-06",""
"66","48_029_1001","Brooks Army Hospital","-98.448333","29.466389",13,"1-Jan-81","31-Dec-82"
"67","48_029_1002","Winans Road","-98.431944","29.473611",13,"1-Jul-82","31-Dec-88"
"68","48_029_1052","San Antonio 99th Street","-98.472","29.342",13,"23-Jul-12","18-Dec-13"
"69","48_029_1069","San Antonio Interstate 35","-98.39139","29.5294",13,"8-Jan-14",""
"70","48_029_1080","San Antonio Gardner Road","-98.332814","29.352911",13,"18-Nov-16",""
"71","48_029_2001","USEPA-480292001","-98.498611","29.423333",13,"1-Jan-57","31-Dec-81"
"72","48_029_2002","Fredericksburg Road","-98.608889","29.627778",13,"1-Jan-64","31-Dec-69"
"73","48_037_0001","USEPA-480370001","-94.078611","33.436944",5,"1-Jan-64","31-Dec-80"
"74","48_037_0003","Spruce Street","-94.052778","33.429444",5,"1-Jan-78","31-Dec-88"
"75","48_037_0004","Texarkana","-94.0708021","33.4257582",5,"1-Jan-99","25-Feb-16"
"76","48_037_0645","WAMBA Texarkana  NTRD","-94.12","33.5",5,"20-Jul-05","7-Nov-06"
"77","48_037_1031","Texarkana New Boston","-94.07778","33.436111",5,"23-Mar-16",""
"78","48_039_0001","Alvin Junior College","-95.235556","29.395278",12,"1-Jan-72","31-Dec-81"
"79","48_039_0618","Danciger","-95.756601","29.144291",12,"1-Jun-03",""
